iter	Passed	Remaining
131	72323	475578
132	72942	475498
133	73624	475812
134	74129	474977
135	74589	473861
136	74931	472016
137	75008	468532
138	75620	468414
139	76100	467476
140	76602	466680
141	77313	467150
142	77812	466329
143	78413	466126
144	79054	466147
145	79561	465377
146	79975	464074
147	80559	463760
148	80707	460955
149	81331	460878
150	81965	460852
151	82223	458718
152	82797	458362
153	83391	458111
154	84012	458002
155	84483	457077
156	84648	454513
157	85324	454705
158	85889	454298
159	86515	454205
160	86807	452371
161	87388	452047
162	87541	449522
163	87893	448041
164	88483	447779
165	88846	446374
166	89389	445879
167	90071	446069
168	90728	446127
169	91236	445451
170	91867	445368
171	92546	445514
172	93143	445256
173	93314	442976
174	93414	440381
175	93584	438143
176	94286	438404
177	94896	438230
178	95374	437445
179	95669	435827
180	96101	434845
181	96411	433321
182	97002	433065
183	97652	433067
184	98164	432455
185	98582	431430
186	98727	429225
187	99300	428894
188	99880	428586
189	100477	428349
190	100701	426530
191	101311	426353
192	101942	426255
193	102557	426088
194	103275	426343
195	103955	426429
196	104539	426118
197	105244	426294
198	105962	426511
199	106561	426245
200	107163	425988
201	107345	424066
202	107427	421773
203	108123	421891
204	108703	421558
205	108980	420052
206	109505	419507
207	110122	419311
208	110759	419188
209	111257	418540
210	111878	418351
211	112492	418133
212	112644	416202
213	113416	416568
214	114064	416467
215	114695	416302
216	115340	416181
217	115855	415592
218	116469	415353
219	117191	415498
220	117822	415310
221	118416	414992
222	118893	414260
223	119483	413926
224	120109	413711
225	120842	413859
226	121486	413697
227	121955	412936
228	122212	411467
229	122737	410905
230	123387	410757
231	123946	410306
232	124666	410382
233	125231	409945
234	125403	408229
235	125824	407330
236	125987	405605
237	126509	405042
238	127158	404884
239	127624	404145
240	128254	403921
241	128981	404000
242	129524	403496
243	130085	403052
244	130712	402806
245	131262	402323
246	131869	402014
247	132469	401680
248	133097	401432
249	133674	401024
250	134305	400774
251	134809	400149
252	135375	399705
253	135521	398027
254	136140	397742
255	136680	397228
256	137270	396856
257	137885	396553
258	138357	395841
259	138974	395543
260	139539	395094
261	140131	394722
262	140722	394343
263	141244	393771
264	141952	393716
265	142534	393310
266	143135	392952
267	143692	392473
268	144367	392314
269	144630	391037
270	145210	390622
271	145759	390119
272	146299	389594
273	146883	389187
274	147556	389012
275	148173	388686
276	148741	388231
277	149293	387732
278	149843	387230
279	150512	387031
280	151102	386629
281	151817	386542
282	152502	386376
283	153135	386073
284	153720	385650
285	154379	385409
286	154944	384930
287	155471	384359
288	156056	383932
289	156656	383539
290	157291	383230
291	157915	382890
292	158566	382615
293	159155	382190
294	159689	381629
295	160254	381145
296	160788	380586
297	161262	379887
298	161802	379343
299	162303	378708
300	162904	378306
301	163433	377736
302	164081	377440
303	164619	376892
304	165210	376463
305	165849	376141
306	166410	375643
307	166943	375080
308	167527	374632
309	168161	374294
310	168749	373854
311	169259	373239
312	169798	372689
313	170370	372211
314	170949	371746
315	171548	371326
316	172085	370771
317	172622	370215
318	173140	369620
319	173647	369001
320	174197	368474
321	174711	367871
322	175330	367488
323	175946	367098
324	176601	366788
325	177249	366460
326	177816	365964
327	178336	365371
328	178855	364779
329	179416	364268
330	180038	363885
331	180623	363423
332	181244	363034
333	181855	362621
334	182430	362138
335	183140	361920
336	183754	361511
337	184651	361654
338	185459	361618
339	186099	361252
340	186830	361060
341	187551	360845
342	188143	360380
343	189142	360690
344	190682	362020
345	192194	363280
346	193490	364119
347	194941	365234
348	196347	366251
349	197945	367613
350	199609	369078
351	200983	369992
352	202615	371365
353	204094	372443
354	206029	374335
355	207444	375264
356	209092	376601
357	210748	377934
358	212224	378929
359	213805	380098
360	215316	381127
361	216886	382247
362	218570	383552
363	220345	384999
364	222068	386337
365	223960	387953
366	225723	389326
367	227199	390190
368	228784	391227
369	230609	392659
370	232093	393494
371	233707	394538
372	235100	395196
373	236565	395962
374	237933	396556
375	239755	397892
376	241021	398293
377	242691	399349
378	244195	400119
379	245493	400541
380	247072	401411
381	248935	402728
382	250474	403505
383	252314	404754
384	253868	405530
385	255522	406452
386	257311	407575
387	258855	408297
388	260254	408780
389	261950	409717
390	263319	410131
391	264874	410825
392	266425	411501
393	267950	412126
394	269850	413315
395	271504	414112
396	272964	414603
397	274624	415387
